,Date,Value
493,2017-05-08,1640.619225
494,2017-05-09,1721.28497143
495,2017-05-10,1762.88625
496,2017-05-11,1820.9905625
497,2017-05-12,1720.4785
498,2017-05-13,1771.9200125
499,2017-05-14,1776.3165
500,2017-05-15,1723.1269375
501,2017-05-16,1739.031975
502,2017-05-17,1807.4850625
503,2017-05-18,1899.0828875
504,2017-05-19,1961.5204875
505,2017-05-20,2052.9097875
506,2017-05-21,2046.5344625
507,2017-05-22,2090.6623125
508,2017-05-23,2287.7102875
509,2017-05-24,2379.19383333
510,2017-05-25,2387.20628571
511,2017-05-26,2211.97685714
512,2017-05-27,2014.0529625
513,2017-05-28,2192.9808
514,2017-05-29,2275.9307
515,2017-05-30,2239.20534286
516,2017-05-31,2285.93391429
517,2017-06-01,2399.24267143
518,2017-06-02,2446.14241429
519,2017-06-03,2525.76515847
520,2017-06-04,2516.17314286
521,2017-06-05,2698.3138125
522,2017-06-06,2883.31369664
523,2017-06-07,2664.9208625
524,2017-06-08,2792.9991875
525,2017-06-09,2827.4913
526,2017-06-10,2845.37285714
527,2017-06-11,2961.8296125
528,2017-06-12,2657.6750625
529,2017-06-13,2748.18508571
530,2017-06-14,2447.0415625
531,2017-06-15,2442.48025
532,2017-06-16,2464.95981429
533,2017-06-17,2665.927
534,2017-06-18,2507.38925214
535,2017-06-19,2617.2102625
536,2017-06-20,2754.97825
537,2017-06-21,2671.04325
538,2017-06-22,2727.2880125
539,2017-06-23,2710.41228571
540,2017-06-24,2589.1648875
541,2017-06-25,2512.36628571
542,2017-06-26,2436.45105714
543,2017-06-27,2517.90311429
544,2017-06-28,2585.34918571
545,2017-06-29,2544.414475
546,2017-06-30,2477.641375
547,2017-07-01,2501.19134286
548,2017-07-02,2561.22542857
549,2017-07-03,2561.22542857
550,2017-07-04,2599.7298375
551,2017-07-05,2619.187503
552,2017-07-06,2609.96775
553,2017-07-07,2491.20121429
554,2017-07-08,2562.1306625
555,2017-07-09,2536.2389375
556,2017-07-10,2366.17014286
557,2017-07-11,2369.86212857
558,2017-07-12,2385.74857143
559,2017-07-13,2354.78341667
560,2017-07-14,2190.94783333
561,2017-07-15,2058.9956
562,2017-07-16,1931.2143
563,2017-07-17,2176.6234875
564,2017-07-18,2320.12225
565,2017-07-19,2264.7657
566,2017-07-20,2898.18841667
567,2017-07-21,2682.1953625
568,2017-07-22,2807.60985714
569,2017-07-23,2725.54971667
570,2017-07-24,2751.82102857
571,2017-07-25,2560.99791667
572,2017-07-26,2495.02858571
573,2017-07-27,2647.625
574,2017-07-28,2781.63658333
575,2017-07-29,2722.51278571
576,2017-07-30,2745.95541667
577,2017-07-31,2866.43166667
578,2017-08-01,2710.41306667
579,2017-08-02,2693.63398333
580,2017-08-03,2794.11771667
581,2017-08-04,2873.85108333
582,2017-08-05,3218.11501667
583,2017-08-06,3252.56253333
584,2017-08-07,3407.22683333
585,2017-08-08,3457.37433333
586,2017-08-09,3357.32631667
587,2017-08-10,3424.4042
588,2017-08-11,3632.50666667
589,2017-08-12,3852.80291429
590,2017-08-13,4125.54802
591,2017-08-14,4282.992
592,2017-08-15,4217.02832857
593,2017-08-16,4360.87687143
594,2017-08-17,4328.72571667
595,2017-08-18,4130.44006667
596,2017-08-19,4222.66221429
597,2017-08-20,4157.95803333
598,2017-08-21,4043.722
599,2017-08-22,4082.18098333
600,2017-08-23,4174.95
601,2017-08-24,4340.31671667
